Incident Zip,Borough,Latitude,Longitude
10019.0,MANHATTAN,40.76287066658,-73.9758139626
11224.0,BROOKLYN,40.57362084546,-73.99612679984
11694.0,QUEENS,40.57081674495,-73.85437947966
10312.0,STATEN ISLAND,40.56042189582,-74.16979342278
10019.0,MANHATTAN,40.76249450484,-73.97519320739
10036.0,MANHATTAN,40.75969106932,-73.98498371465
11222.0,BROOKLYN,40.72547874504,-73.94974652151
11222.0,BROOKLYN,40.72547874504,-73.94974652151
11691.0,QUEENS,40.60294170627,-73.75046467351
10036.0,MANHATTAN,40.75929302321,-73.98454342556
11374.0,QUEENS,40.72737424577,-73.87080707191
10003.0,MANHATTAN,40.72636466601,-73.98802184235
10021.0,MANHATTAN,40.76901658474,-73.95819039481
11385.0,QUEENS,40.70145021888,-73.88669720735
10021.0,MANHATTAN,40.76901658474,-73.95819039481
10009.0,MANHATTAN,40.72003115705,-73.9786722473
10027.0,MANHATTAN,40.81543236103,-73.95720386746
10031.0,MANHATTAN,40.82695932397,-73.94260581199
10003.0,MANHATTAN,40.72636466601,-73.98802184235
10003.0,MANHATTAN,40.72636466601,-73.98802184235
11205.0,BROOKLYN,40.69735747564,-73.96085351377
11213.0,BROOKLYN,40.6652019893,-73.9307309602
11432.0,QUEENS,40.70642929822,-73.79226977509
11367.0,QUEENS,40.72795525208,-73.81231712955
10017.0,MANHATTAN,40.74990981892,-73.97506074579
11249.0,BROOKLYN,40.71894290405,-73.96268064891
10128.0,MANHATTAN,40.7835769191,-73.95684157864
11375.0,QUEENS,40.71746723855,-73.84536884015
11235.0,BROOKLYN,40.58473052796,-73.93602035661
11355.0,QUEENS,40.75745800804,-73.8258962261
10312.0,STATEN ISLAND,40.56042189582,-74.16979342278
11355.0,QUEENS,40.75745800804,-73.8258962261
11201.0,BROOKLYN,40.70381095533,-73.98792490837
11212.0,BROOKLYN,40.65861498684,-73.90791950728
11226.0,BROOKLYN,40.65224851276,-73.95712835236
11249.0,BROOKLYN,40.71894290405,-73.96268064891
10306.0,STATEN ISLAND,40.55576348861,-74.14180550796
10462.0,BRONX,40.84842340697,-73.86439478257
11234.0,BROOKLYN,40.61388875284,-73.92718600733
11220.0,BROOKLYN,40.64522213315,-74.02267316685
10301.0,STATEN ISLAND,40.61268853189,-74.09288876355
10001.0,MANHATTAN,40.745059529,-73.99205322156
10007.0,MANHATTAN,40.71531751006,-74.0053604193
10455.0,BRONX,40.81501694629,-73.90844371339
11371.0,QUEENS,40.76907537466,-73.88656410658
10016.0,MANHATTAN,40.74496204704,-73.98027022049
10003.0,MANHATTAN,40.73201367525,-73.99140169595
10306.0,STATEN ISLAND,40.55576348861,-74.14180550796
10002.0,MANHATTAN,40.72173460489,-73.99199828075
10451.0,BRONX,40.82161004279,-73.9282124466
10023.0,MANHATTAN,40.77801698566,-73.98025320524
10036.0,MANHATTAN,40.76018880301,-73.9968306738
10017.0,MANHATTAN,40.75161047209,-73.97045110162
10456.0,BRONX,40.8331308911,-73.91402720298
11222.0,BROOKLYN,40.72547874504,-73.94974652151
10314.0,STATEN ISLAND,40.61162993364,-74.15956162275
10035.0,MANHATTAN,40.7986964923,-73.93654790888
11101.0,QUEENS,40.74984880589,-73.94838914264
10027.0,MANHATTAN,40.81403919014,-73.95309720057
11222.0,BROOKLYN,40.72547874504,-73.94974652151
10462.0,BRONX,40.85568967381,-73.8676442208
10312.0,STATEN ISLAND,40.56042189582,-74.16979342278
10007.0,MANHATTAN,40.7114525314,-74.01050379268
10128.0,MANHATTAN,40.78029222768,-73.94565383435
10009.0,MANHATTAN,40.72277694421,-73.98523374697
10451.0,BRONX,40.8147319695,-73.92015999757
10016.0,MANHATTAN,40.74606847545,-73.98207075685
11365.0,QUEENS,40.73998726229,-73.79100677925
11212.0,BROOKLYN,40.66551950562,-73.90967982936
10128.0,MANHATTAN,40.78029222768,-73.94565383435
10037.0,MANHATTAN,40.81206635783,-73.94236216584
10037.0,MANHATTAN,40.81206635783,-73.94236216584
11236.0,BROOKLYN,40.64975780632,-73.89841786211
11691.0,QUEENS,40.60294170627,-73.75046467351
11103.0,QUEENS,40.76386205846,-73.91027928077
11691.0,QUEENS,40.60294170627,-73.75046467351
10454.0,BRONX,40.80729108913,-73.91267708124
11423.0,QUEENS,40.71348703111,-73.75894977512
10036.0,MANHATTAN,40.7555962638,-73.9879985386
10306.0,STATEN ISLAND,40.56366316583,-74.13251861258
11225.0,BROOKLYN,40.66089858101,-73.96066225343
11378.0,QUEENS,40.72608692677,-73.89507968883
10475.0,BRONX,40.87978516278,-73.82429214196
11230.0,BROOKLYN,40.61948409006,-73.95741234988
10307.0,STATEN ISLAND,40.51708111942,-74.2338573639
10013.0,MANHATTAN,40.71608341427,-74.0014248923
10023.0,MANHATTAN,40.77718180093,-73.97610844714
11233.0,BROOKLYN,40.67860662675,-73.91699888402
11226.0,BROOKLYN,40.65043450719,-73.95792955565
11205.0,BROOKLYN,40.69787186112,-73.9746186006
11414.0,QUEENS,40.66406847835,-73.84192776276
11205.0,BROOKLYN,40.69787186112,-73.9746186006
11237.0,BROOKLYN,40.70942162079,-73.93303314153
10465.0,BRONX,40.83382001523,-73.82640107545
11215.0,BROOKLYN,40.66258749897,-73.99092404704
10458.0,BRONX,40.85945329813,-73.89196636708
11419.0,QUEENS,40.6859595254,-73.82580887378
11103.0,QUEENS,40.76421470643,-73.91566121271
10128.0,MANHATTAN,40.78029222768,-73.94565383435
10306.0,STATEN ISLAND,40.55625536176,-74.12972932436
10034.0,MANHATTAN,40.86781779926,-73.92075067659
