NTACODE,NTA_NAME,PM_Avg,PM_tertiles,NO2_Avg,NO2_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
BK5691,Barren Island-Floyd Bennett Field,6.299624836,Low,13.84079868,Low,Low,Medium,Low,Low
BK5692,Jamaica Bay (West),6.143436139,Low,11.38781616,Low,Low,Low,Low,Low
BK5693,Shirley Chisholm State Park,6.313224205,Low,14.20420416,Low,Low,Low,Low,Medium
BX0101,Mott Haven-Port Morris,7.114908222,High,17.56927835,High,Low,High,High,High
BX0102,Melrose,6.994607717,Medium,18.01209612,High,Low,High,Medium,Low
BX0201,Hunts Point,7.647902264,High,19.12750922,High,Medium,Medium,High,Medium
BX0202,Longwood,7.912011022,High,22.09266952,High,Medium,High,High,Low
BX0291,North & South Brother Islands,6.438001965,Medium,13.01842475,Low,Low,Low,High,Low
BX0301,Morrisania,6.842177081,High,16.39397894,High,Medium,High,High,Low
BX0302,Claremont Village-Claremont (East),7.046077223,High,16.94900969,High,Low,High,High,Medium
BX0303,Crotona Park East,7.040401663,High,16.54728135,High,Medium,Medium,High,Medium
BX0391,Crotona Park,7.145397046,High,16.24565297,Medium,Low,Low,Low,Low
BX0401,Concourse-Concourse Village,7.301569841,Medium,21.78573998,High,Medium,High,High,Medium
BX0402,Highbridge,6.969149043,Medium,17.38585135,High,Low,High,Medium,High
BX0403,Mount Eden-Claremont (West),6.862881944,High,17.92301856,High,Low,High,Medium,High
BX0491,Yankee Stadium-Macombs Dam Park,6.828180011,Medium,18.04131974,Medium,Low,Medium,Low,Medium
BX0492,Claremont Park,7.072948962,High,15.58476245,High,Low,Low,Low,Low
BX0501,University Heights (South)-Morris Heights,7.745038959,Medium,26.00396427,High,Low,High,Medium,High
BX0502,Mount Hope,7.111869134,High,19.93694725,High,Low,High,Medium,High
BX0503,Fordham Heights,6.761225018,High,16.01156668,High,Medium,High,Medium,Low
BX0601,West Farms,6.982430832,High,19.17270714,High,Low,High,Medium,High
BX0602,Tremont,7.589409784,High,20.86228747,High,Medium,High,Medium,High
BX0603,Belmont,7.112560076,High,16.87342038,Medium,High,High,Medium,Medium
BX0701,University Heights (North)-Fordham,6.972868547,High,17.90002575,High,Medium,High,Medium,High
BX0702,Bedford Park,6.907230942,High,15.95336145,Medium,Medium,High,Medium,Low
BX0703,Norwood,6.804575868,High,15.75248025,Medium,Medium,High,Medium,Medium
BX0801,Kingsbridge Heights-Van Cortlandt Village,6.805059998,High,17.00513513,Medium,Low,High,Medium,High
