year,uhf_code,neighborhood,ed_rate_per_10k_age_5_17,estimated_annual_ed_visits_age_5_17,unstable_estimate
2005,404,Bayside - Little Neck,31.1,38.0,False
2005,203,Bedford Stuyvesant - Crown Heights,286.2,1785.0,False
2005,209,Bensonhurst - Bay Ridge,24.5,66.0,False
2005,206,Borough Park,19.8,125.0,False
2005,208,Canarsie - Flatlands,116.1,416.0,False
2005,302,Central Harlem - Morningside Heights,687.1,1840.0,False
2005,306,Chelsea - Clinton,231.9,159.0,False
2005,210,Coney Island - Sheepshead Bay,65.6,283.0,False
2005,105,Crotona - Tremont,340.4,1630.0,False
2005,202,Downtown - Heights - Slope,162.3,431.0,False
2005,207,East Flatbush - Flatbush,166.1,947.0,False
2005,303,East Harlem,485.7,998.0,False
2005,204,East New York,269.3,1106.0,False
2005,403,Flushing - Clearview,83.7,270.0,False
2005,103,Fordham - Bronx Pk,228.4,1165.0,False
2005,406,Fresh Meadows,72.9,102.0,False
2005,307,Gramercy Park - Murray Hill,93.6,49.0,False
2005,201,Greenpoint,110.5,223.0,False
2005,308,Greenwich Village - SoHo,38.0,20.0,False
2005,106,High Bridge - Morrisania,342.3,1575.0,False
2005,107,Hunts Point - Mott Haven,362.2,1115.0,False
2005,408,Jamaica,171.2,852.0,False
2005,101,Kingsbridge - Riverdale,101.7,124.0,False
2005,401,Long Island City - Astoria,139.3,350.0,False
2005,310,Lower Manhattan,78.0,24.0,False
2005,102,Northeast Bronx,192.6,654.0,False
2005,104,Pelham - Throgs Neck,211.0,1119.0,False
2005,501,Port Richmond,181.1,260.0,False
2005,405,Ridgewood - Forest Hills,93.3,298.0,False
2005,410,Rockaways,210.8,445.0,False
2005,504,South Beach - Tottenville,50.2,164.0,False
2005,409,Southeast Queens,116.9,391.0,False
2005,407,Southwest Queens,110.8,502.0,False
2005,502,Stapleton - St. George,145.1,306.0,False
2005,205,Sunset Park,71.5,148.0,False
2005,309,Union Square - Lower East Side,201.6,384.0,False
2005,305,Upper East Side,68.5,120.0,False
2005,304,Upper West Side,260.3,505.0,False
2005,301,Washington Heights,257.4,1119.0,False
2005,402,West Queens,115.1,790.0,False
2005,211,Williamsburg - Bushwick,345.0,1444.0,False
2005,503,Willowbrook,60.9,87.0,False
2006,404,Bayside - Little Neck,42.7,52.0,False
2006,203,Bedford Stuyvesant - Crown Heights,288.8,1749.0,False
2006,209,Bensonhurst - Bay Ridge,26.8,73.0,False
2006,206,Borough Park,27.0,171.0,False
2006,208,Canarsie - Flatlands,126.7,447.0,False
2006,302,Central Harlem - Morningside Heights,554.1,1460.0,False
2006,306,Chelsea - Clinton,199.8,138.0,False
2006,210,Coney Island - Sheepshead Bay,67.9,290.0,False
2006,105,Crotona - Tremont,388.7,1823.0,False
2006,202,Downtown - Heights - Slope,158.3,413.0,False
2006,207,East Flatbush - Flatbush,184.8,1021.0,False
2006,303,East Harlem,570.9,1153.0,False
2006,204,East New York,253.8,1028.0,False
2006,403,Flushing - Clearview,88.5,282.0,False
2006,103,Fordham - Bronx Pk,236.6,1186.0,False
2006,406,Fresh Meadows,89.8,125.0,False
2006,307,Gramercy Park - Murray Hill,118.6,63.0,False
2006,201,Greenpoint,102.2,199.0,False
2006,308,Greenwich Village - SoHo,53.1,28.0,False
2006,106,High Bridge - Morrisania,411.3,1865.0,False
2006,107,Hunts Point - Mott Haven,440.2,1337.0,False
2006,408,Jamaica,194.0,952.0,False
2006,101,Kingsbridge - Riverdale,96.2,116.0,False
2006,401,Long Island City - Astoria,165.2,404.0,False
2006,310,Lower Manhattan,115.3,37.0,False
2006,102,Northeast Bronx,229.7,772.0,False
2006,104,Pelham - Throgs Neck,265.5,1394.0,False
2006,501,Port Richmond,186.7,267.0,False
2006,405,Ridgewood - Forest Hills,80.1,253.0,False
2006,410,Rockaways,218.7,460.0,False
2006,504,South Beach - Tottenville,41.2,133.0,False
2006,409,Southeast Queens,120.1,393.0,False
2006,407,Southwest Queens,131.5,589.0,False
2006,502,Stapleton - St. George,167.1,349.0,False
2006,205,Sunset Park,63.4,130.0,False
2006,309,Union Square - Lower East Side,210.4,394.0,False
2006,305,Upper East Side,72.1,129.0,False
2006,304,Upper West Side,153.8,301.0,False
2006,301,Washington Heights,226.3,953.0,False
2006,402,West Queens,153.0,1042.0,False
2006,211,Williamsburg - Bushwick,291.1,1195.0,False
2006,503,Willowbrook,60.6,85.0,False
2007,404,Bayside - Little Neck,49.2,60.0,False
2007,203,Bedford Stuyvesant - Crown Heights,280.2,1650.0,False
2007,209,Bensonhurst - Bay Ridge,34.3,95.0,False
2007,206,Borough Park,21.0,134.0,False
2007,208,Canarsie - Flatlands,121.2,422.0,False
2007,302,Central Harlem - Morningside Heights,566.4,1458.0,False
2007,306,Chelsea - Clinton,200.9,139.0,False
2007,210,Coney Island - Sheepshead Bay,68.3,290.0,False
2007,105,Crotona - Tremont,356.2,1645.0,False
2007,202,Downtown - Heights - Slope,141.2,363.0,False
2007,207,East Flatbush - Flatbush,193.8,1039.0,False
2007,303,East Harlem,601.7,1184.0,False
2007,204,East New York,259.4,1039.0,False
2007,403,Flushing - Clearview,81.9,259.0,False
2007,103,Fordham - Bronx Pk,243.8,1209.0,False
2007,406,Fresh Meadows,100.0,139.0,False
2007,307,Gramercy Park - Murray Hill,124.8,67.0,False
2007,201,Greenpoint,151.2,285.0,False
2007,308,Greenwich Village - SoHo,32.3,17.0,False
2007,106,High Bridge - Morrisania,367.4,1651.0,False
2007,107,Hunts Point - Mott Haven,410.0,1236.0,False
2007,408,Jamaica,141.4,685.0,False
2007,101,Kingsbridge - Riverdale,110.2,132.0,False
2007,401,Long Island City - Astoria,175.8,420.0,False
2007,310,Lower Manhattan,84.3,28.0,False
2007,102,Northeast Bronx,219.2,731.0,False
2007,104,Pelham - Throgs Neck,257.8,1348.0,False
2007,501,Port Richmond,160.1,230.0,False
2007,405,Ridgewood - Forest Hills,76.8,241.0,False
2007,410,Rockaways,236.8,497.0,False
